# North Icelandic Shelf Arctica islandica Shell Measurement 1350 Year Record
#-----------------------------------------------------------------------
#              World Data Center for Paleoclimatology, Boulder 
#                                  and 
#                       NOAA Paleoclimatology Program 
#-----------------------------------------------------------------------
# NOTE: Please cite original publication, online resource and date accessed when using this data.
# If there is no publication information, please cite Investigator, title, online resource and date accessed.
#
#  Online_Resource: http://www.hurricane.ncdc.noaa.gov/pls/paleox/f?p=519:1:::::P1_STUDY_ID:
# 
# Original_Source_URL: ftp://ftp.ncdc.noaa.gov/pub/data/paleo/contributions_by_author/butler2013/butler2013-chron.txt
#
# Archive: Paleoceanography
#
#--------------------------------
# Contribution_Date
# Date: 2013-06-25
#--------------------------------
# Title:   North Icelandic Shelf Arctica islandica Shell Measurement 1350 Year Record
#--------------------------------
# Investigators: Butler, P.G.; Wanamaker, A.D.; Scourse, J.D.; Richardson, C.A.; Reynolds, D.J.
#--------------------
# Description and Notes: 
# (a) Raw measurements of increment widths from shells of the bivalve Arctica islandica; (b)absolute dates of birth and death derived by crossdating; (c)chronologies derived from a mean value function of the detrended increment widths, and supplementary data associated with the chronologies and presented in the paper.
#  Keyword: Sclerochronology
#--------------------
# Publication 
#   Authors:  Butler, P.G., A.D. Wanamaker Jr., J.D. Scourse, C.A. Richardson and D.J. Reynolds
#   Journal_Name: Palaeogeography, Palaeoclimatology, Palaeoecology
#   Published_Title: Variability of marine climate on the North Icelandic Shelf in a 1357-year proxy archive based on growth increments in the bivalve Arctica islandica
#   Published_Date_or_Year: 2013
#   Volume: 373
#   Pages: 141-151
#   DOI: 10.1016/j.palaeo.2012.01.016
# Abstract: A multicentennial and absolutely-dated shell-based chronology for the marine environment of the North Icelandic Shelf has been constructed using annual growth increments in the shell of the long-lived bivalve clam Arctica islandica. The region from which the shells were collected is close to the North Atlantic Polar Front and is highly sensitive to the varying influences of Atlantic and Arctic water masses. A strong common environmental signal is apparent in the increment widths, and although the correlations between the growth increment indices and regional sea surface temperatures are significant at the 95% confidence level, they are low (r~0.2), indicating that a more complex combination of environmental forcings is driving growth. Remarkable longevities of individual animals are apparent in the increment-width series used in the chronology, with several animals having lifetimes in excess of 300 years and one, at 507 years, being the longest-lived non-colonial animal so far reported whose age at death can be accurately determined. The sample depth is at least three shells after AD 1175, and the time series has been extended back to AD 649 with a sample depth of one or two by the addition of two further series, thus providing a 1357-year archive of dated shell material. The statistical and spectral characteristics of the chronology are investigated by using two different methods of removing the age-related trend in shell growth. Comparison with other proxy archives from the same region reveals several similarities in variability on multidecadal timescales, particularly during the period surrounding the transition from the Medieval Climate Anomaly to the Little Ice Age.
#--------------------------------
# Funding_Agency: 
#    Funding_Agency_Name:
#    Grant:
#--------------------------------
# Site Information: 
# Site_Name: Grimsey
# Location: North Atlantic Ocean
#	Northernmost_Latitude:  66.5265
# 	Southernmost_Latitude:   66.5265
# 	Easternmost_Longitude: -18.19567
# 	Westernmost_Longitude: -18.19567
# 	Elevation: 81-83 m
#--------------------------------
# Data Collection 
# Collection_Name: NIS-A.islandica chronologies Butler13
# Oldest_Year: 649
# Most_Recent_Year: 2005
# Time_Unit: AD
# Core_Length 
# Notes: The NE and RCS detrended chronologies used in Butler et al 2013. Autoregressively modelled versions of the chronology produced by ARSTAN (see Butler et al 2013, section 3.3). Only the NE detrended chronology is used in Wanamaker et al 2012. Data from figures 3d, 3e and 3f in paper. 
#--------------------------------
# Variables    
# 
# Data variables follow (have no #)
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
## age_AD age,,,AD,,,,,N
## NE.ars	detrended growth index,Arctica islandica,,unitless,,,negative exponential function,autoregressively modelled version from ARSTAN,N
## RCS.ars	detrended growth index,Arctica islandica,,unitless,,,regional curve standardization,autoregressively modelled version from ARSTAN,N
#----------------------
# Data:
age_AD	NE.ars	RCS.ars
1034	0.897	1.028
1035	1.296	1.366
1036	1.082	1.224
1037	1.372	1.453
1038	1.323	1.425
1039	1.385	1.499
1040	1.398	1.492
1041	1.097	1.248
1042	1.231	1.335
1043	1.286	1.367
1044	1.551	1.585
1045	1.609	1.631
1046	1.637	1.678
1047	1.557	1.623
1048	1.057	1.203
1049	0.865	0.988
1050	1.15	1.198
1051	0.559	0.62
1052	1.045	1.032
1053	1.75	1.607
1054	1.685	1.635
1055	1.346	1.371
1056	0.913	0.992
1057	1.302	1.332
1058	0.679	0.734
1059	1.334	1.293
1060	0.713	0.697
1061	0.827	0.84
1062	0.71	0.657
1063	0.89	0.878
1064	0.254	0.14
1065	1.275	1.168
1066	1.279	1.193
1067	1.683	1.59
1068	1.169	1.163
1069	1.525	1.522
1070	1.199	1.238
1071	1.043	1.12
1072	1.111	1.122
1073	1.171	1.192
1074	0.437	0.449
1075	0.87	0.848
1076	1.491	1.38
1077	1.1	1.107
1078	1.943	1.774
1079	1.691	1.643
1080	1.66	1.68
1081	1.303	1.353
1082	1.164	1.253
1083	0.886	0.945
1084	0.983	1.005
1085	1.413	1.344
1086	1.433	1.387
1087	0.644	0.669
1088	1.316	1.267
1089	0.871	0.879
1090	0.613	0.623
1091	0.385	0.251
1092	0.485	0.383
1093	0.818	0.687
1094	0.385	0.221
1095	0.568	0.417
1096	0.483	0.314
1097	0.219	-0.007
1098	0.76	0.583
1099	0.597	0.439
1100	0.034	-0.409
1101	0.391	0.121
1102	0.557	0.346
1103	0.933	0.751
1104	1.4	1.181
1105	0.91	0.808
1106	1.104	1.003
1107	0.551	0.429
1108	0.704	0.59
1109	0.924	0.745
1110	1.128	0.966
1111	0.991	0.828
1112	0.855	0.715
1113	0.975	0.831
1114	1.283	1.125
1115	0.919	0.796
1116	0.997	0.86
1117	1.052	0.903
1118	1.476	1.303
1119	1.301	1.158
1120	0.884	0.78
1121	0.53	0.342
1122	1.461	1.238
1123	1.292	1.102
1124	1.537	1.332
1125	1.317	1.136
1126	0.951	0.844
1127	0.917	0.758
1128	0.493	0.252
1129	0.677	0.412
1130	1.073	0.786
1131	0.553	0.25
1132	0.637	0.319
1133	1.229	0.934
1134	0.556	0.284
1135	0.688	0.398
1136	0.766	0.462
1137	0.538	0.239
1138	0.536	0.164
1139	1.179	0.868
1140	0.867	0.602
1141	0.463	0.126
1142	1.321	1.013
1143	1.447	1.188
1144	1.207	1.007
1145	0.789	0.555
1146	1.177	0.965
1147	1.156	0.942
1148	1.034	0.826
1149	1.353	1.097
1150	1.195	0.993
1151	1.074	0.887
1152	0.918	0.707
1153	0.972	0.763
1154	1.013	0.783
1155	1.073	0.841
1156	0.503	0.19
1157	1.067	0.795
1158	1.07	0.8
1159	0.927	0.69
1160	0.932	0.652
1161	1.115	0.869
1162	1.301	1.051
1163	1.363	1.125
1164	1.031	0.827
1165	1.536	1.289
1166	0.791	0.578
1167	1.238	1.013
1168	1.216	0.953
1169	1.15	0.941
1170	1.26	0.996
1171	1.288	1.112
1172	1.082	0.986
1173	1.225	1.148
1174	1.033	1.015
1175	1.157	1.135
1176	1.135	1.155
1177	1.215	1.538
1178	0.855	1.146
1179	0.21	0.344
1180	1.142	1.268
1181	1.192	1.245
1182	0.845	1.026
1183	1.126	1.304
1184	0.898	1.075
1185	1.426	1.511
1186	1.619	1.808
1187	0.994	1.405
1188	1.089	1.406
1189	1.206	1.409
1190	0.848	1.249
1191	1.26	1.597
1192	1.259	1.443
1193	0.89	1.081
1194	0.978	1.194
1195	1.349	1.572
1196	1.175	1.399
1197	1.909	2.084
1198	1.304	1.803
1199	0.849	1.409
1200	1.486	1.897
1201	1.515	1.861
1202	1.259	1.782
1203	0.968	1.575
1204	0.996	1.564
1205	0.524	1.139
1206	0.582	1.124
1207	0.481	0.801
1208	0.562	0.636
1209	0.482	0.633
1210	0.463	0.68
1211	0.604	0.637
1212	0.644	0.755
1213	0.592	0.641
1214	0.796	0.812
1215	1.578	1.465
1216	1.076	1.129
1217	0.578	0.573
1218	0.877	0.9
1219	0.813	0.952
1220	0.576	0.71
1221	0.881	0.991
1222	0.515	0.644
1223	0.258	-0.258
1224	0.877	0.78
1225	0.929	1.056
1226	1.128	1.299
1227	0.926	1.137
1228	0.581	0.897
1229	0.932	1.108
1230	1.505	1.851
1231	1.508	1.885
1232	1.945	2.52
1233	1.713	2.357
1234	2.232	2.875
1235	1.233	2.074
1236	1.183	2.012
1237	1.16	1.74
1238	1.032	1.606
1239	1.439	1.932
1240	1.311	1.84
1241	0.804	1.158
1242	1.359	1.735
1243	1.562	1.976
1244	1.378	1.803
1245	1.684	2.145
1246	1.67	2.268
1247	1.372	1.947
1248	1.427	2.012
1249	0.792	1.182
1250	0.689	1.035
1251	0.788	0.986
1252	0.669	0.628
1253	0.762	0.659
1254	0.45	-0.409
1255	0.451	-0.211
1256	1.162	0.926
1257	1.116	1.025
1258	1.136	1.065
1259	1.084	1.172
1260	1.251	1.472
1261	1.192	1.465
1262	0.788	1.02
1263	0.837	1.068
1264	1.016	1.296
1265	1.246	1.51
1266	0.946	1.159
1267	1.068	1.323
1268	0.712	0.845
1269	0.739	0.726
1270	0.53	0.477
1271	1.656	1.719
1272	1.373	1.552
1273	1	1.165
1274	0.92	1.03
1275	1.341	1.494
1276	1.347	1.492
1277	1.757	1.83
1278	1.005	1.029
1279	0.91	0.912
1280	0.568	0.275
1281	1.308	1.199
1282	0.634	0.099
1283	1.209	1.065
1284	0.907	0.655
1285	1.379	1.308
1286	1.186	1.139
1287	1.311	1.392
1288	1.376	1.488
1289	1.204	1.39
1290	1.37	1.577
1291	1.429	1.624
1292	1.389	1.619
1293	0.978	1.117
1294	0.823	0.725
1295	0.93	0.917
1296	0.751	0.592
1297	1.372	1.669
1298	1.358	1.514
1299	1.018	1.15
1300	0.818	0.926
1301	0.962	1.218
1302	1.189	1.342
1303	0.697	0.662
1304	0.439	0.128
1305	0.837	0.687
1306	0.455	-0.119
1307	0.693	0.279
1308	0.749	0.344
1309	0.922	0.644
1310	0.451	-0.061
1311	1.25	1.031
1312	0.35	-0.409
1313	0.789	0.468
1314	0.734	0.406
1315	0.698	0.331
1316	1.213	1.014
1317	0.869	0.694
1318	0.609	0.316
1319	0.639	0.336
1320	0.711	0.402
1321	0.576	0.136
1322	0.726	0.396
1323	0.625	0.239
1324	0.964	0.79
1325	0.933	0.797
1326	0.859	0.765
1327	0.887	0.825
1328	0.106	-0.409
1329	0.092	-0.409
1330	1.133	0.909
1331	1.387	1.114
1332	0.259	-0.409
1333	0.807	0.523
1334	0.932	0.692
1335	0.826	0.44
1336	1.487	1.34
1337	1.323	1.297
1338	1.375	1.449
1339	1.764	2.012
1340	1.304	1.52
1341	1.105	1.287
1342	1.316	1.42
1343	0.647	0.506
1344	0.708	0.336
1345	0.851	0.466
1346	1.055	0.802
1347	0.426	-0.264
1348	0.9	0.545
1349	0.827	0.453
1350	1.013	0.68
1351	1.28	0.921
1352	1.076	0.857
1353	0.99	0.807
1354	1.137	0.986
1355	1.27	1.151
1356	1.133	1.052
1357	0.793	0.632
1358	0.781	0.585
1359	0.699	0.417
1360	1.096	0.876
1361	1.284	1.083
1362	1.136	0.96
1363	0.363	-0.31
1364	0.774	0.427
1365	1.169	0.879
1366	1.237	0.968
1367	0.723	0.392
1368	1.117	0.907
1369	1.3	1.149
1370	1.182	1.051
1371	1.308	1.227
1372	1.479	1.475
1373	1.388	1.413
1374	1.248	1.27
1375	1.221	1.244
1376	0.892	0.858
1377	0.917	0.803
1378	0.911	0.761
1379	0.949	0.754
1380	0.613	0.34
1381	0.764	0.451
1382	0.737	0.425
1383	1.76	1.526
1384	0.744	0.694
1385	0.984	0.964
1386	1.441	1.358
1387	1.778	1.78
1388	0.966	0.928
1389	1.536	1.558
1390	0.693	0.474
1391	1.44	1.395
1392	0.146	-0.409
1393	0.503	-0.135
1394	0.799	0.253
1395	0.913	0.416
1396	1.242	0.863
1397	1.246	1.016
1398	0.785	0.481
1399	0.939	0.777
1400	1.053	0.854
1401	0.747	0.534
1402	0.953	0.803
1403	0.527	0.201
1404	0.515	0.216
1405	0.633	0.326
1406	1.111	0.94
1407	1.094	0.859
1408	1.31	1.24
1409	1.16	1.154
1410	0.958	0.926
1411	1.098	1.113
1412	0.594	0.522
