ETH Simulated time (yr AD),ETH solar modulation parameter (MeV),ETH solar modulation parameter sig (MeV),QL Simulated time (yr AD),QL solar modulation parameter (MeV),Sunspot times (yr AD),Sunspots
1559.83333333333,474.498948929396,142.538849012992, , , , 
1559.91666666666,479.269700119528,144.910633172901, , , , 
1560,483.99918689633,147.340759130097, , , , 
1560.08333333333,488.668456427215,149.824032055364, , , , 
1560.16666666666,493.258524804552,152.355007417373, , , , 
1560.25,497.750501269113,154.928007481299, , , , 
1560.33333333333,502.125706724813,157.537136190988, , , , 
1560.41666666666,506.3657854656,160.176292354619, , , , 
1560.5,510.452809342538,162.839181261774, , , , 
1560.58333333333,514.369373878282,165.519325020212, , , , 
1560.66666666666,518.098686075896,168.210072013339, , , , 
1560.75,521.624643872148,170.904605950424, , , , 
1560.83333333333,524.931907357048,173.595955014872, , , , 
1560.91666666666,528.005962025388,176.277001614612, , , , 
1561,530.83317444609,178.940493206094, , , , 
1561.08333333333,533.400840832465,181.579054611174, , , , 
1561.16666666666,535.697229069095,184.185202199324, , , , 
1561.25,537.711614794586,186.751360287033, , , , 
1561.33333333333,539.434312153616,189.269880104836, , , , 
1561.41666666666,540.856699823311,191.733061672128, , , , 
1561.5,541.971242897977,194.133178878293, , , , 
1561.58333333333,542.77151118976,196.462507990977, , , , 
1561.66666666666,543.252194474145,198.713359704427, , , , 
1561.75,543.409115179964,200.87811471205, , , , 
1561.83333333333,543.239238994893,202.949262644518, , , , 
1561.91666666666,542.740683830698,204.919444058378, , , , 
1562,541.912727567509,206.781494990899, , , , 
1562.08333333333,540.755814965431,208.528493428415, , , , 
1562.16666666666,539.271564070672,210.153806903831, , , , 
1562.25,537.462772318692,211.651140384471, , , , 
1562.33333333333,535.333422335698,213.01458363891, , , , 
1562.41666666666,532.888687185544,214.238657342387, , , , 
1562.5,530.134934542043,215.318357252686, , , , 
1562.58333333333,527.079729013645,216.249195845916, , , , 
1562.66666666666,523.73183161714,217.027240842796, , , , 
1562.75,520.101195189722,217.649150072368, , , , 
1562.83333333333,516.198954343852,218.112202097203, , , , 
1562.91666666666,512.037408406268,218.414321960682, , , , 
1563,507.629995644134,218.554101333015, , , , 
1563.08333333333,502.991256988025,218.530812261303, , , , 
1563.16666666666,498.136787471577,218.344413715635, , , , 
1563.25,493.083173798806,217.995550226036, , , , 
1563.33333333333,487.847916853661,217.485542154312, , , , 
1563.41666666666,482.449338528907,216.816367501045, , , , 
1563.5,476.906472883452,215.990635524309, , , , 
1563.58333333333,471.238942280499,215.011552773036, , , , 
1563.66666666666,465.466819797685,213.882882395631, , , , 
1563.75,459.610479837365,212.608897794228, , , , 
1563.83333333333,453.690439505043,211.194331883363, , , , 
1563.91666666666,447.727193970623,209.644323390397, , , , 
1564,441.741049676317,207.9643618067, , , , 
1564.08333333333,435.75195985583,206.160232757533, , , , 
1564.16666666666,429.77936723236,204.237965664855, , , , 
1564.25,423.84205876143,202.203785557127, , , , 
1564.33333333333,417.9580367868,200.064070687792, , , , 
1564.41666666666,412.144410109507,197.825317289136, , , , 
1564.5,406.417307460188,195.494112382946, , , , 
