Time (years AD),Calibration_constrained_Mean,Calibration_constrained_Min,Calibration_constrained_Max,Calibration_constrained_Mean - 2SE,Calibration_constrained_Mean + 2SE,Model_constrained_Mean,Model_constrained_Min,Model_constrained_Max,Model_constrained_Mean - 2SE,Model_constrained_Mean + 2SE
1404,-0.186,-1.676,1.119,-3.992,3.436,0.448,0.124,0.806,-2.083,3.012
1403,-0.732,-1.479,0.514,-3.796,2.831,-0.219,-0.482,-0.064,-2.689,2.142
1402,0.029,-0.811,1.628,-3.128,3.945,0.958,0.580,1.818,-1.626,4.024
1401,-0.636,-1.383,0.379,-3.699,2.695,-0.529,-0.827,-0.212,-3.033,1.994
1400,-0.317,-1.051,0.949,-3.368,3.266,0.107,-0.350,0.679,-2.557,2.885
1399,-0.982,-1.639,0.161,-3.955,2.478,-0.826,-1.095,-0.645,-3.302,1.562
1398,-0.475,-1.169,0.486,-3.486,2.803,-0.386,-0.566,-0.190,-2.772,2.017
1397,-0.577,-1.386,0.731,-3.703,3.048,-0.328,-0.846,0.089,-3.053,2.296
1396,-0.839,-2.049,0.245,-4.366,2.561,-1.447,-2.195,-0.771,-4.402,1.435
1395,-0.302,-1.317,1.115,-3.634,3.432,-0.155,-0.793,0.469,-2.999,2.675
1394,-0.138,-1.049,1.127,-3.365,3.443,-0.182,-0.700,0.168,-2.906,2.374
1393,-0.129,-1.101,1.337,-3.418,3.653,0.419,-0.226,0.797,-2.432,3.003
1392,0.069,-1.209,1.147,-3.526,3.464,0.073,-0.500,0.436,-2.706,2.643
1391,-0.061,-1.107,1.128,-3.424,3.444,0.101,-0.449,0.432,-2.656,2.638
1390,-0.375,-1.389,0.765,-3.705,3.082,-0.299,-0.634,0.128,-2.840,2.335
1389,-0.649,-1.988,0.490,-4.304,2.806,-0.864,-1.267,-0.649,-3.474,1.557
1388,-0.444,-1.492,0.790,-3.809,3.107,0.142,-0.137,0.446,-2.343,2.652
1387,0.165,-1.204,1.262,-3.520,3.579,0.085,-0.407,0.420,-2.614,2.626
1386,0.279,-0.678,1.208,-2.995,3.525,0.346,-0.107,0.709,-2.313,2.916
1385,-0.232,-1.187,0.820,-3.503,3.137,0.253,-0.290,0.732,-2.497,2.938
1384,-0.295,-1.001,0.566,-3.318,2.883,-0.158,-0.733,0.138,-2.939,2.344
1383,0.091,-0.636,1.011,-2.953,3.327,0.287,-0.041,0.533,-2.247,2.739
1382,-0.058,-0.620,0.854,-2.936,3.171,1.164,0.650,1.428,-1.557,3.634
1381,-0.382,-1.292,0.686,-3.609,3.002,0.329,-0.333,0.784,-2.540,2.990
1380,-0.147,-0.870,1.208,-3.187,3.524,0.025,-0.261,0.371,-2.467,2.578
1379,-1.048,-1.873,0.218,-4.190,2.535,-0.577,-0.990,0.241,-3.196,2.448
1378,-0.374,-1.057,0.756,-3.374,3.073,0.055,-0.241,0.592,-2.448,2.798
1377,-0.129,-0.971,1.109,-3.288,3.426,0.716,0.356,1.017,-1.851,3.223
1376,-0.387,-1.166,1.271,-3.482,3.587,0.833,0.367,1.109,-1.839,3.315
1375,-0.696,-1.535,0.307,-3.852,2.623,-0.354,-0.654,-0.185,-2.861,2.021
1374,0.064,-0.898,1.069,-3.215,3.386,0.238,-0.139,0.575,-2.345,2.782
1373,-0.246,-0.926,0.934,-3.243,3.250,-0.102,-0.427,0.120,-2.633,2.327
1372,-0.596,-1.157,0.239,-3.473,2.556,-0.290,-0.566,-0.085,-2.772,2.122
1371,-0.207,-0.999,0.646,-3.316,2.963,0.256,0.010,0.456,-2.196,2.662
1370,-0.686,-1.388,0.184,-3.704,2.501,-0.692,-1.135,-0.364,-3.342,1.843
1369,-0.257,-0.977,1.021,-3.293,3.338,0.679,0.127,1.107,-2.079,3.314
1368,-0.099,-1.227,0.873,-3.544,3.189,-0.048,-0.237,0.448,-2.443,2.655
1367,-0.048,-0.877,0.781,-3.194,3.098,-0.347,-0.603,-0.196,-2.809,2.011
1366,-0.234,-0.863,0.571,-3.179,2.888,-0.238,-0.382,-0.083,-2.588,2.123
1365,-0.177,-0.927,0.776,-3.243,3.093,-0.290,-0.736,-0.003,-2.942,2.203
1364,-0.027,-0.990,1.213,-3.307,3.530,0.494,0.093,0.803,-2.113,3.009
1363,-0.432,-1.269,0.451,-3.585,2.767,0.108,-0.235,0.727,-2.441,2.933
1362,-0.911,-1.778,0.099,-4.094,2.415,-0.824,-1.180,-0.401,-3.386,1.805
1361,-0.795,-1.788,0.801,-4.105,3.118,-0.460,-0.721,-0.256,-2.927,1.950
1360,-0.563,-1.582,0.763,-3.899,3.080,-0.374,-0.725,0.146,-2.931,2.352
1359,-0.223,-0.943,0.998,-3.260,3.315,-0.059,-0.397,0.147,-2.603,2.354
1358,-0.817,-1.916,0.345,-4.232,2.662,-0.894,-1.702,-0.457,-3.908,1.749
1357,-0.182,-1.300,1.360,-3.617,3.677,-0.358,-0.701,-0.018,-2.907,2.188
1356,-0.157,-1.015,1.113,-3.331,3.430,0.200,-0.370,0.959,-2.576,3.165
1355,-0.875,-1.836,0.075,-4.153,2.392,-0.238,-0.890,0.135,-3.096,2.342
1354,0.133,-0.942,1.190,-3.259,3.507,0.231,-0.066,0.637,-2.272,2.843
1353,-0.034,-1.209,1.061,-3.526,3.378,0.373,0.048,0.936,-2.159,3.142
1352,-0.441,-1.321,0.755,-3.637,3.072,0.162,-0.208,0.646,-2.415,2.852
1351,-0.598,-1.952,0.506,-4.269,2.823,-0.157,-0.624,0.088,-2.830,2.294
1350,-0.812,-1.991,0.558,-4.308,2.875,0.054,-0.306,0.309,-2.512,2.515
1349,-0.283,-1.708,0.987,-4.024,3.304,-0.193,-0.739,0.126,-2.946,2.333
1348,-0.186,-1.937,0.999,-4.254,3.316,-0.109,-0.654,0.197,-2.860,2.404
1347,-0.621,-1.815,0.714,-4.132,3.031,-0.376,-1.065,0.013,-3.271,2.220
1346,-0.637,-2.279,0.794,-4.596,3.111,-0.233,-0.844,0.105,-3.050,2.311
1345,-0.019,-1.323,1.578,-3.640,3.894,0.621,-0.132,1.060,-2.338,3.267
1344,0.303,-1.263,1.949,-3.580,4.266,0.869,-0.038,1.431,-2.244,3.637
1343,-0.664,-2.300,0.858,-4.617,3.175,-0.766,-1.693,-0.154,-3.900,2.052
1342,-0.725,-2.073,0.454,-4.390,2.771,-0.818,-1.503,-0.220,-3.710,1.986
1341,-0.187,-1.743,2.095,-4.060,4.411,0.306,-0.190,0.969,-2.396,3.175
1340,-0.451,-2.038,0.576,-4.354,2.893,0.146,-0.602,0.935,-2.809,3.142
1339,-0.343,-1.573,0.775,-3.890,3.091,-0.241,-0.648,0.310,-2.855,2.516
1338,-0.306,-1.662,1.018,-3.978,3.335,0.385,-0.177,0.892,-2.384,3.098
1337,0.045,-0.874,1.308,-3.190,3.624,0.692,0.184,1.105,-2.023,3.311
1336,0.008,-1.406,1.187,-3.723,3.504,0.006,-0.371,0.440,-2.577,2.646
1335,-0.210,-1.136,1.181,-3.452,3.497,0.212,-0.041,0.476,-2.248,2.682
1334,0.460,-0.573,2.388,-2.889,4.705,0.549,0.239,0.979,-1.967,3.185
1333,0.745,-0.600,2.021,-2.917,4.338,-0.232,-0.606,0.527,-2.812,2.733
1332,1.190,-0.070,2.474,-2.387,4.791,0.396,-0.136,1.238,-2.343,3.444
1331,0.476,-0.636,1.653,-2.953,3.970,0.402,0.056,0.765,-2.150,2.971
1330,0.717,-0.441,1.937,-2.758,4.254,0.534,0.004,0.810,-2.202,3.016
1329,0.191,-0.924,1.432,-3.241,3.748,0.438,0.007,0.784,-2.199,2.991
1328,0.250,-0.897,1.739,-3.214,4.056,0.786,0.493,1.023,-1.714,3.229
1327,-0.235,-1.306,0.996,-3.623,3.312,-0.215,-0.730,0.163,-2.936,2.370
1326,-0.098,-1.094,1.241,-3.411,3.557,-0.331,-1.265,0.147,-3.471,2.354
1325,0.091,-0.745,0.939,-3.061,3.256,-0.286,-0.685,0.203,-2.892,2.410
1324,-0.355,-1.545,0.877,-3.862,3.194,-0.329,-0.703,0.030,-2.910,2.237
1323,-0.065,-0.845,1.578,-3.162,3.895,0.318,-0.066,0.705,-2.272,2.912
1322,0.621,-0.130,1.746,-2.447,4.062,1.443,1.152,1.977,-1.054,4.183
1321,0.700,0.114,2.088,-2.203,4.405,0.941,0.650,1.240,-1.556,3.446
1320,0.997,0.268,2.319,-2.048,4.636,1.605,0.958,2.023,-1.248,4.229
1319,1.114,0.371,2.137,-1.945,4.454,1.415,1.150,1.665,-1.056,3.871
1318,0.300,-0.514,1.686,-2.831,4.002,0.758,0.313,1.146,-1.893,3.352
1317,0.921,0.217,2.140,-2.100,4.456,1.479,1.161,1.732,-1.046,3.939
1316,-0.029,-0.816,1.414,-3.133,3.731,0.352,0.142,0.592,-2.064,2.798
1315,0.318,-0.336,1.692,-2.653,4.009,0.595,0.263,0.840,-1.943,3.046
1314,1.300,0.390,2.951,-1.926,5.267,1.265,1.042,1.559,-1.165,3.766
1313,1.114,0.282,2.591,-2.035,4.907,1.080,0.757,1.526,-1.450,3.732
1312,0.712,-0.059,2.199,-2.375,4.516,0.287,-0.160,0.684,-2.367,2.891
1311,0.622,-0.302,2.056,-2.619,4.373,0.204,-0.252,0.635,-2.459,2.841
1310,0.607,-0.135,2.003,-2.451,4.320,0.559,0.212,0.976,-1.994,3.182
1309,1.259,0.225,2.884,-2.091,5.201,0.843,0.068,1.488,-2.138,3.694
1308,-0.424,-1.447,1.013,-3.764,3.330,-0.655,-1.380,-0.221,-3.586,1.986
1307,-0.175,-0.934,1.253,-3.251,3.569,-0.156,-0.624,0.267,-2.831,2.474
1306,-0.002,-0.901,1.295,-3.218,3.612,-0.046,-0.378,0.247,-2.584,2.453
1305,0.344,-0.780,1.693,-3.097,4.010,0.146,-0.281,0.566,-2.488,2.773
1304,0.534,-0.174,2.056,-2.491,4.373,0.891,0.430,1.360,-1.776,3.567
1303,0.514,-0.193,1.646,-2.509,3.963,0.132,-0.215,0.587,-2.421,2.794
1302,0.549,-0.215,1.693,-2.531,4.009,0.715,0.199,1.274,-2.008,3.480
1301,0.037,-0.525,1.048,-2.842,3.365,-0.315,-0.652,0.126,-2.858,2.332
1300,-0.019,-1.093,1.147,-3.410,3.464,-0.235,-0.614,0.208,-2.820,2.414
1299,-0.259,-0.980,1.102,-3.297,3.419,-0.085,-0.450,0.378,-2.656,2.585
1298,0.756,-0.388,2.306,-2.705,4.623,0.948,0.554,1.263,-1.653,3.470
1297,0.106,-0.904,1.827,-3.220,4.144,-0.294,-0.697,0.020,-2.904,2.227
1296,0.539,-0.437,2.133,-2.753,4.449,0.782,0.406,1.045,-1.800,3.251
1295,-0.143,-1.068,1.685,-3.385,4.001,0.536,0.109,0.844,-2.097,3.051
1294,0.534,-0.293,2.024,-2.610,4.341,1.045,0.755,1.303,-1.451,3.510
1293,0.744,-0.193,2.317,-2.509,4.634,1.252,0.945,1.526,-1.261,3.732
1292,0.068,-1.178,1.324,-3.494,3.641,0.618,-0.078,0.900,-2.284,3.106
1291,0.499,-0.265,2.071,-2.582,4.388,1.146,0.858,1.343,-1.348,3.549
1290,0.272,-0.908,1.632,-3.225,3.949,-0.119,-0.437,0.250,-2.643,2.456
1289,-0.125,-0.912,1.048,-3.229,3.365,0.276,0.029,0.661,-2.177,2.868
1288,0.048,-0.942,1.441,-3.258,3.758,1.564,0.988,1.977,-1.219,4.183
1287,0.065,-0.741,1.552,-3.057,3.869,1.085,0.694,1.323,-1.512,3.529
1286,-0.591,-1.414,0.997,-3.731,3.314,0.114,-0.197,0.343,-2.403,2.550
1285,-0.262,-1.454,1.573,-3.771,3.889,0.805,0.512,1.128,-1.695,3.334
1284,0.617,-0.246,2.027,-2.563,4.343,1.315,1.067,1.684,-1.140,3.891
1283,-0.094,-1.283,1.746,-3.599,4.063,0.502,-0.168,0.797,-2.374,3.004
1282,0.262,-0.396,1.275,-2.713,3.591,0.547,0.219,1.069,-1.987,3.275
1281,-0.354,-1.231,0.728,-3.548,3.045,-0.383,-0.935,0.333,-3.141,2.539
1280,0.054,-0.846,1.144,-3.163,3.461,0.296,0.018,0.663,-2.189,2.869
1279,-0.142,-1.069,1.074,-3.386,3.391,0.299,-0.078,0.600,-2.284,2.806
1278,-0.087,-0.816,1.219,-3.133,3.535,0.434,0.020,0.975,-2.186,3.181
1277,0.378,-0.373,1.675,-2.690,3.991,1.072,0.774,1.526,-1.433,3.732
1276,-0.607,-1.702,0.757,-4.019,3.074,0.645,0.275,0.997,-1.931,3.204
1275,0.141,-0.785,1.021,-3.102,3.337,-0.477,-0.938,0.037,-3.145,2.244
1274,-0.076,-0.562,1.180,-2.878,3.497,0.314,0.007,0.703,-2.200,2.909
1273,0.147,-0.607,1.197,-2.923,3.513,0.429,0.051,0.801,-2.156,3.007
1272,0.120,-0.566,0.954,-2.883,3.271,0.009,-0.224,0.321,-2.430,2.527
1271,0.348,-0.281,1.317,-2.598,3.634,0.417,0.110,0.859,-2.096,3.065
1270,-0.059,-0.819,1.035,-3.136,3.352,0.407,-0.223,0.786,-2.429,2.992
1269,0.027,-0.908,1.204,-3.225,3.520,-0.502,-0.936,-0.137,-3.143,2.070
1268,1.007,0.363,2.283,-1.953,4.600,1.197,0.714,1.608,-1.492,3.814
1267,0.773,0.231,2.258,-2.086,4.575,1.417,1.137,1.728,-1.069,3.935
1266,0.734,-0.019,1.728,-2.336,4.044,1.434,1.103,1.802,-1.104,4.009
1265,0.191,-0.722,1.244,-3.038,3.561,0.942,0.649,1.200,-1.557,3.406
1264,-0.129,-0.762,1.019,-3.078,3.336,0.990,0.666,1.232,-1.540,3.439
1263,0.328,-0.465,1.501,-2.781,3.818,1.139,0.592,1.478,-1.615,3.684
1262,0.291,-0.595,1.219,-2.912,3.536,1.160,0.717,1.490,-1.489,3.696
1261,0.356,-0.183,1.106,-2.500,3.423,0.919,0.482,1.237,-1.724,3.443
1260,0.685,0.121,1.567,-2.196,3.883,1.048,0.705,1.362,-1.501,3.568
1259,0.898,0.221,1.642,-2.095,3.959,0.991,0.687,1.371,-1.520,3.577
1258,-0.396,-1.367,1.336,-3.683,3.653,0.834,0.411,1.443,-1.796,3.649
1257,-0.005,-0.587,0.629,-2.904,2.946,-0.283,-0.745,0.054,-2.951,2.260
1256,-0.488,-0.945,0.278,-3.261,2.595,-0.047,-0.371,0.227,-2.578,2.433
1255,-0.270,-0.790,0.611,-3.106,2.928,0.172,-0.253,0.594,-2.459,2.800
1254,-0.505,-1.320,0.998,-3.637,3.315,-0.244,-1.280,0.416,-3.486,2.623
1253,-0.136,-1.463,0.919,-3.780,3.236,0.441,-0.149,1.027,-2.356,3.233
1252,0.729,-0.171,2.044,-2.488,4.361,2.489,2.196,2.836,-0.010,5.042
1251,-0.559,-1.332,0.964,-3.649,3.281,0.580,0.059,0.961,-2.147,3.167
1250,0.056,-1.044,1.053,-3.360,3.370,0.378,-0.650,0.853,-2.857,3.060
1249,0.118,-0.616,0.852,-2.933,3.169,0.428,-0.519,1.200,-2.726,3.407
1248,-0.092,-0.711,0.784,-3.028,3.101,0.483,-0.137,0.927,-2.343,3.134
1247,0.147,-0.554,1.056,-2.871,3.373,1.388,1.013,1.614,-1.193,3.821
1246,-0.383,-1.092,0.794,-3.409,3.111,0.864,0.175,1.137,-2.031,3.344
1245,-0.324,-1.004,0.841,-3.320,3.158,0.212,-0.251,0.545,-2.458,2.751
1244,-0.162,-0.921,1.177,-3.238,3.494,-0.234,-0.713,0.179,-2.919,2.386
1243,0.146,-0.606,1.385,-2.923,3.701,0.362,-0.286,0.773,-2.493,2.980
1242,-0.068,-1.167,0.870,-3.484,3.186,-0.599,-1.171,-0.258,-3.378,1.949
1241,0.235,-0.657,1.640,-2.974,3.957,-0.165,-0.832,0.457,-3.038,2.664
1240,-0.536,-1.150,0.386,-3.467,2.702,-0.374,-0.852,0.187,-3.058,2.394
1239,0.124,-0.677,1.530,-2.994,3.847,-0.235,-0.843,0.323,-3.049,2.529
1238,-0.090,-0.916,1.025,-3.233,3.341,-0.054,-0.628,0.375,-2.834,2.582
1237,-0.406,-1.191,0.407,-3.508,2.724,-0.499,-1.078,0.042,-3.284,2.249
1236,-0.243,-1.217,0.917,-3.533,3.234,-0.070,-0.607,0.395,-2.813,2.602
1235,-0.001,-0.832,1.134,-3.149,3.451,-0.049,-0.604,0.413,-2.811,2.619
1234,-0.475,-1.358,0.494,-3.675,2.811,0.196,-0.306,0.572,-2.512,2.779
1233,-0.681,-1.399,-0.105,-3.716,2.212,-0.012,-0.607,0.394,-2.814,2.601
1232,-0.134,-1.113,0.630,-3.430,2.946,-0.214,-0.556,0.184,-2.762,2.390
1231,0.199,-0.449,1.236,-2.766,3.552,0.146,-0.257,0.494,-2.463,2.700
1230,0.117,-0.983,1.353,-3.300,3.670,0.372,-0.072,0.614,-2.278,2.821
1229,0.056,-0.935,1.428,-3.251,3.745,1.252,0.820,1.706,-1.387,3.913
1228,0.032,-0.831,1.325,-3.148,3.642,0.240,-0.033,0.434,-2.240,2.640
1227,-0.866,-1.862,0.541,-4.179,2.858,0.400,0.074,0.628,-2.132,2.834
1226,0.068,-0.553,1.169,-2.870,3.486,0.731,0.269,1.005,-1.937,3.211
1225,-0.700,-1.463,0.234,-3.780,2.551,0.220,-0.390,0.510,-2.596,2.716
1224,-0.315,-1.100,0.698,-3.417,3.014,-0.119,-0.817,0.453,-3.023,2.659
1223,-0.493,-1.433,0.404,-3.750,2.721,-0.778,-1.636,-0.156,-3.842,2.050
1222,-0.149,-0.995,0.670,-3.312,2.987,-0.506,-1.192,0.057,-3.398,2.263
1221,-0.271,-1.065,0.865,-3.381,3.182,-0.346,-1.248,0.398,-3.454,2.604
1220,-0.449,-1.141,0.434,-3.457,2.750,-0.644,-1.635,0.046,-3.841,2.253
1219,0.308,-0.367,1.508,-2.684,3.825,0.441,0.050,0.821,-2.157,3.027
1218,-0.385,-1.315,0.945,-3.632,3.262,0.002,-0.717,0.634,-2.923,2.840
1217,-0.437,-1.463,0.917,-3.779,3.234,0.047,-0.192,0.370,-2.399,2.577
1216,-0.041,-0.684,0.908,-3.001,3.224,0.449,-0.124,0.813,-2.331,3.019
1215,-0.094,-0.736,0.930,-3.053,3.247,0.512,0.282,0.718,-1.925,2.925
1214,0.295,-0.460,1.132,-2.777,3.449,0.667,0.306,0.912,-1.901,3.119
1213,0.440,-0.175,1.154,-2.492,3.471,0.459,0.144,0.800,-2.062,3.007
1212,-0.259,-1.156,0.623,-3.472,2.940,-0.968,-1.441,-0.614,-3.647,1.592
1211,0.232,-0.569,1.224,-2.886,3.540,-0.234,-0.586,0.029,-2.792,2.235
1210,0.540,-0.384,1.575,-2.700,3.892,0.263,-0.335,0.630,-2.542,2.836
1209,-0.026,-0.769,1.116,-3.086,3.433,-0.353,-0.631,-0.007,-2.837,2.200
1208,-0.624,-1.380,0.153,-3.697,2.470,-0.806,-1.087,-0.513,-3.293,1.693
1207,0.297,-0.551,1.504,-2.868,3.821,0.015,-0.204,0.463,-2.411,2.669
1206,0.612,-0.466,2.277,-2.783,4.594,0.693,0.134,1.091,-2.072,3.297
1205,-0.101,-0.961,1.000,-3.278,3.317,-0.580,-0.760,-0.383,-2.966,1.824
1204,0.141,-0.823,1.431,-3.140,3.748,-0.466,-1.013,0.339,-3.219,2.545
1203,0.199,-0.978,1.302,-3.295,3.618,-0.114,-0.823,0.554,-3.030,2.760
1202,-0.238,-1.280,0.794,-3.597,3.111,-0.484,-1.008,0.078,-3.215,2.285
1201,0.150,-1.037,1.298,-3.354,3.615,-0.334,-0.703,0.314,-2.910,2.520
1200,0.224,-1.122,2.054,-3.439,4.371,0.428,-0.151,0.936,-2.357,3.142
1199,-0.490,-1.358,0.823,-3.674,3.140,0.526,0.020,0.961,-2.186,3.167
1198,0.036,-0.761,1.443,-3.077,3.760,0.729,0.068,1.275,-2.138,3.481
1197,0.340,-0.726,1.557,-3.043,3.874,0.295,-0.131,0.757,-2.337,2.963
1196,0.136,-0.728,1.245,-3.045,3.562,0.945,0.439,1.566,-1.768,3.772
1195,0.199,-1.209,1.651,-3.526,3.968,0.880,0.451,1.347,-1.755,3.554
1194,-0.208,-0.857,0.870,-3.174,3.187,0.456,-0.158,0.964,-2.364,3.170
1193,0.027,-0.958,1.553,-3.275,3.869,1.669,0.686,2.271,-1.520,4.477
1192,0.120,-0.538,1.006,-2.855,3.323,1.033,0.420,1.588,-1.786,3.794
1191,0.145,-0.753,1.518,-3.069,3.835,0.973,0.222,1.593,-1.985,3.799
1190,-0.491,-1.456,0.561,-3.773,2.878,-0.061,-0.657,0.315,-2.863,2.522
1189,-0.400,-1.272,0.778,-3.589,3.095,0.657,0.408,0.873,-1.799,3.079
1188,-0.671,-1.366,0.257,-3.683,2.573,0.272,-0.103,0.470,-2.310,2.676
1187,-0.194,-0.925,0.711,-3.241,3.028,0.250,-0.063,0.905,-2.269,3.111
1186,-0.510,-1.222,0.672,-3.539,2.989,1.364,0.908,1.885,-1.298,4.091
1185,-0.121,-0.915,0.915,-3.232,3.231,0.635,0.426,1.150,-1.780,3.356
1184,0.311,-0.523,1.279,-2.840,3.596,0.565,-0.016,1.190,-2.223,3.396
1183,0.211,-0.416,1.524,-2.733,3.841,0.431,0.182,0.896,-2.024,3.103
1182,-0.638,-1.334,0.608,-3.651,2.924,-0.362,-0.643,-0.071,-2.850,2.135
1181,-0.491,-1.501,0.588,-3.818,2.904,-0.152,-0.526,0.156,-2.732,2.363
1180,0.269,-0.569,1.918,-2.886,4.234,0.292,-0.373,1.235,-2.580,3.441
1179,-0.358,-1.089,0.712,-3.405,3.029,-0.008,-0.372,0.578,-2.579,2.785
1178,0.141,-0.716,1.744,-3.033,4.061,0.265,-0.053,0.589,-2.260,2.796
1177,-0.216,-0.865,0.703,-3.181,3.020,-0.292,-0.701,0.006,-2.907,2.213
1176,-0.587,-1.422,1.041,-3.739,3.357,-0.744,-1.177,-0.316,-3.384,1.890
1175,-1.059,-1.906,0.364,-4.222,2.681,-1.008,-1.369,-0.464,-3.575,1.742
1174,-0.525,-1.413,0.806,-3.730,3.123,-0.121,-0.431,0.368,-2.638,2.574
1173,-0.116,-1.204,1.372,-3.521,3.688,-0.266,-0.536,0.243,-2.742,2.449
1172,0.137,-0.658,1.744,-2.975,4.061,0.084,-0.300,0.624,-2.506,2.831
1171,0.226,-0.487,2.300,-2.803,4.616,0.811,0.163,1.516,-2.044,3.722
1170,-0.481,-1.292,1.573,-3.609,3.890,-0.370,-0.811,0.297,-3.017,2.504
1169,-0.293,-1.381,1.777,-3.698,4.094,1.412,0.999,2.131,-1.207,4.337
1168,-0.548,-1.492,1.687,-3.809,4.003,0.300,-0.089,0.939,-2.296,3.145
1167,0.110,-0.661,1.536,-2.978,3.853,0.748,0.510,1.088,-1.697,3.294
1166,-0.145,-1.112,1.708,-3.429,4.024,0.265,-0.285,0.649,-2.492,2.855
1165,0.289,-0.771,1.629,-3.088,3.946,1.331,0.644,1.674,-1.562,3.880
1164,0.031,-0.940,1.168,-3.257,3.484,0.867,0.082,1.318,-2.124,3.524
1163,0.020,-0.846,1.211,-3.162,3.527,0.284,-0.302,0.729,-2.508,2.936
1162,-0.069,-0.793,1.116,-3.110,3.432,0.669,0.144,1.003,-2.062,3.209
1161,-0.617,-1.556,0.347,-3.872,2.664,0.098,-0.316,0.460,-2.522,2.667
1160,-0.415,-1.375,0.517,-3.692,2.833,-0.090,-0.496,0.189,-2.702,2.396
1159,-0.104,-0.848,1.780,-3.165,4.097,0.270,-0.101,0.598,-2.308,2.805
1158,-0.336,-1.219,1.049,-3.536,3.366,0.924,0.415,1.471,-1.791,3.677
1157,0.018,-0.750,1.378,-3.066,3.695,0.185,-0.126,0.594,-2.333,2.800
1156,-0.578,-1.564,1.584,-3.881,3.901,0.832,0.269,1.450,-1.937,3.657
1155,0.096,-0.491,1.105,-2.808,3.421,0.356,-0.030,0.918,-2.236,3.124
1154,-0.556,-1.348,0.454,-3.665,2.771,0.312,0.015,0.662,-2.191,2.869
1153,0.171,-0.454,1.456,-2.771,3.772,1.026,0.578,1.455,-1.628,3.661
1152,0.300,-0.443,1.573,-2.760,3.890,0.751,0.377,1.128,-1.829,3.335
1151,-0.201,-0.810,0.936,-3.127,3.252,0.357,0.039,0.649,-2.168,2.855
1150,-0.768,-1.610,0.420,-3.927,2.737,0.348,-0.084,0.586,-2.291,2.792
1149,0.541,-0.391,2.068,-2.707,4.385,1.952,1.338,2.382,-0.868,4.588
1148,-0.445,-1.116,0.624,-3.432,2.941,0.235,-0.057,0.503,-2.263,2.710
1147,-0.616,-1.272,0.227,-3.589,2.544,-0.725,-1.019,-0.418,-3.225,1.788
1146,-0.780,-1.558,0.254,-3.875,2.571,-0.531,-0.954,-0.171,-3.160,2.035
1145,-0.238,-1.591,0.988,-3.908,3.304,-0.621,-1.083,-0.329,-3.289,1.878
1144,-0.350,-1.044,0.499,-3.361,2.816,-0.117,-0.510,0.159,-2.716,2.365
1143,-0.165,-0.737,0.625,-3.054,2.942,0.233,-0.262,0.504,-2.469,2.710
1142,-0.374,-1.185,0.376,-3.502,2.692,-0.265,-0.575,0.082,-2.782,2.288
1141,-0.715,-1.549,0.419,-3.865,2.735,-0.540,-0.973,-0.018,-3.180,2.188
1140,-0.785,-1.541,0.285,-3.858,2.601,0.187,-0.222,0.555,-2.428,2.762
1139,-0.761,-1.645,0.753,-3.961,3.070,-0.629,-0.969,-0.152,-3.175,2.054
1138,-0.797,-1.560,0.230,-3.876,2.547,-0.443,-0.877,-0.096,-3.083,2.111
1137,-0.882,-1.663,-0.058,-3.979,2.259,-0.699,-1.233,-0.277,-3.439,1.929
1136,-0.292,-1.158,0.827,-3.475,3.144,0.116,-0.272,0.382,-2.479,2.588
1135,-0.973,-1.799,0.072,-4.116,2.388,0.019,-0.281,0.298,-2.487,2.504
1134,-0.979,-1.889,0.328,-4.206,2.644,-0.733,-1.325,-0.416,-3.531,1.791
1133,-0.918,-2.048,0.280,-4.365,2.597,-0.400,-0.839,-0.106,-3.045,2.100
1132,-1.022,-1.948,0.126,-4.265,2.443,-0.478,-1.066,-0.094,-3.272,2.113
1131,-0.437,-1.191,0.461,-3.508,2.778,-0.501,-0.981,-0.085,-3.187,2.122
1130,-0.810,-1.984,0.337,-4.301,2.654,-0.258,-0.603,-0.027,-2.810,2.179
1129,0.164,-0.729,1.518,-3.045,3.835,0.485,-0.021,0.828,-2.227,3.034
1128,-0.524,-1.369,0.392,-3.686,2.709,-0.249,-0.694,0.127,-2.901,2.334
1127,-0.609,-1.491,0.621,-3.807,2.938,-0.248,-0.764,0.079,-2.971,2.285
1126,-1.155,-2.177,0.129,-4.494,2.445,-0.204,-0.626,0.270,-2.832,2.476
1125,-1.446,-2.416,-0.369,-4.732,1.947,-1.519,-1.907,-1.193,-4.113,1.014
1124,-0.777,-1.643,0.458,-3.960,2.775,0.028,-0.456,0.312,-2.662,2.518
1123,-0.668,-1.511,0.420,-3.828,2.737,-0.453,-0.845,-0.174,-3.051,2.033
1122,-0.648,-2.359,0.660,-4.676,2.977,-1.498,-1.933,-0.702,-4.139,1.505
1121,-0.433,-1.480,0.596,-3.797,2.912,0.207,-0.232,0.807,-2.438,3.013
1120,-0.335,-1.548,0.646,-3.865,2.963,-0.567,-0.940,-0.118,-3.146,2.088
1119,-0.341,-1.226,0.728,-3.543,3.044,0.062,-0.416,0.436,-2.622,2.642
1118,0.100,-0.728,0.898,-3.044,3.215,0.254,-0.228,0.746,-2.434,2.952
1117,0.067,-0.870,1.302,-3.187,3.618,-0.599,-1.012,-0.095,-3.219,2.111
1116,-0.295,-1.334,0.732,-3.651,3.049,0.055,-0.311,0.426,-2.517,2.632
