Time (years AD),Calibration_constrained_Mean,Calibration_constrained_Min,Calibration_constrained_Max,Calibration_constrained_Mean - 2SE,Calibration_constrained_Mean + 2SE,Model_constrained_Mean,Model_constrained_Min,Model_constrained_Max,Model_constrained_Mean - 2SE,Model_constrained_Mean + 2SE
1737,-0.299,-1.030,0.884,-3.346,3.201,0.830,0.377,1.365,-1.829,3.572
1736,-0.872,-1.456,0.058,-3.772,2.374,-0.286,-0.591,-0.115,-2.797,2.092
1735,-0.509,-1.484,0.724,-3.801,3.040,0.796,0.427,1.201,-1.780,3.408
1734,-0.064,-0.711,0.599,-3.028,2.916,0.559,0.105,0.815,-2.101,3.022
1733,-0.225,-0.681,0.309,-2.998,2.625,-0.309,-0.679,-0.077,-2.885,2.129
1732,-0.489,-1.265,0.306,-3.581,2.623,-0.967,-1.456,-0.625,-3.663,1.582
1731,-0.257,-1.245,0.459,-3.562,2.776,-1.106,-1.788,-0.673,-3.995,1.533
1730,-1.084,-2.035,-0.299,-4.352,2.017,-1.190,-1.899,-0.745,-4.106,1.461
1729,-1.218,-1.994,0.048,-4.311,2.364,-0.760,-1.289,-0.464,-3.496,1.742
1728,-0.431,-1.080,0.390,-3.397,2.707,-0.492,-1.041,-0.116,-3.247,2.090
1727,-0.207,-1.287,0.491,-3.604,2.808,-0.710,-1.230,-0.323,-3.436,1.883
1726,0.518,-0.773,1.331,-3.090,3.647,-0.743,-1.317,-0.281,-3.523,1.926
1725,0.014,-1.248,0.708,-3.565,3.025,-0.361,-0.921,-0.032,-3.127,2.174
1724,0.055,-0.816,1.108,-3.133,3.424,-0.180,-0.659,0.202,-2.865,2.408
1723,0.453,-0.692,1.365,-3.009,3.682,0.481,-0.193,1.213,-2.399,3.419
1722,-0.742,-1.331,-0.126,-3.648,2.191,-0.261,-0.887,0.376,-3.094,2.583
1721,0.367,-0.499,1.346,-2.816,3.663,0.913,0.189,1.522,-2.017,3.728
1720,0.110,-1.016,1.031,-3.333,3.348,-0.179,-0.670,0.133,-2.876,2.339
1719,-0.307,-0.939,0.723,-3.256,3.040,-0.500,-1.011,-0.121,-3.218,2.086
1718,-0.380,-0.898,0.493,-3.215,2.810,-0.201,-0.750,0.884,-2.957,3.091
1717,-1.116,-1.611,-0.211,-3.927,2.105,-0.975,-1.526,-0.571,-3.732,1.636
1716,-1.043,-1.703,-0.232,-4.020,2.085,-0.676,-1.338,-0.288,-3.544,1.919
1715,-0.510,-1.190,0.286,-3.507,2.603,-0.381,-1.057,-0.030,-3.264,2.176
1714,0.184,-0.420,1.095,-2.736,3.411,0.264,-0.483,0.713,-2.690,2.920
1713,-0.264,-0.893,0.874,-3.209,3.191,0.412,-0.353,0.837,-2.559,3.044
1712,0.015,-0.919,0.845,-3.236,3.162,-0.419,-0.987,0.052,-3.193,2.258
1711,-0.038,-0.761,0.813,-3.078,3.130,-0.233,-0.798,0.192,-3.005,2.399
1710,-0.200,-1.362,0.783,-3.679,3.100,-1.162,-1.681,-0.824,-3.887,1.382
1709,-0.396,-1.325,0.372,-3.641,2.689,-0.010,-0.573,0.321,-2.779,2.528
1708,-0.179,-0.863,0.949,-3.180,3.266,-0.056,-0.448,0.240,-2.654,2.446
