Year,D13C,d18O
1687,1.6241432892,3.3272436133
1686,2.1549420649,3.7125979636
1685,1.9490980542,3.4325604652
1684,2.2307649151,3.5452756097
1683,2.0552016882,3.2034209416
1682,2.21,3.694
1681,2.152,3.783
1680,2.114,3.806
1679,2.124,3.933
1678,2.1846704862,3.5844758725
1677,2.3309597006,3.7214108809
1676,2.3918457141,3.6241547144
1675,2.1486079697,3.3166868454
1674,2.42,3.87
1673,2.34,3.786
1672,2.241,3.886
1671,2.074,3.804
1670,2.026,3.935
1669,1.751,3.711
1668,1.585,3.719
1667,1.872,3.871
1666,1.7723179843,3.4821284286
1665,1.932,3.839
1664,2.09,3.578
1663,2.024,3.76
1662,1.979,3.896
1661,2.119,3.932
1660,2.185,3.705
1659,2.102,3.372
1658,2.265,3.451
1657,2.215,3.376
1656,2.1323877497,3.3631084162
1655,2.044271637,3.4589188526
1654,2.333,3.517
1653,1.992,3.361
1652,2.093,3.387
1651,1.728,3.789
1650,1.961,3.633
1649,1.704,3.504
1648,1.694,3.611
1647,1.7345983103,3.3414456205
1646,1.579,3.938
1645,1.571816577,3.4618251788
1644,1.499,3.465
1643,1.755,3.617
1642,1.868,3.611
1641,1.707,3.466
1640,1.825,3.603
1639,1.9495,3.7825
1638,2.013,3.786
1637,2.126,3.485
1636,1.672,3.543
1635,2.3657768716,3.6334460462
1634,2.374344278,4.1023590474
1633,2.1641680774,4.409662607
1632,2.1269399836,4.0525498295
1631,2.0952197647,3.7581551015
1630,2.297638427,3.909041665
1629,2.2419502162,3.8683421248
1628,2.3442959975,4.0011449195
1627,2.399336708,4.0400272306
1626,2.278723162,4.0889346821
1625,2.2806570961,4.0511331974
1624,2.3055688288,3.9963762689
1623,2.3249339723,3.9111862288
1622,2.1218500478,3.6870992389
1621,1.8566757774,3.5230383745
1620,2.1600277066,3.7322847705
1619,2.2555775907,4.0908223485
1618,2.2786662926,3.7409243018
1617,2.1281342074,3.9571876683
1616,2.0134175394,3.985363936
1615,2.0339734861,4.0536919869
1614,2.0024537544,4.1140581129
1613,2.1290546011,3.9804041959
1612,2.1304254253,3.7930406412
1611,2.1006429763,3.8597116117
1610,2.0931614247,3.9491610436
1609,2.060589046,3.9318141058
1608,2.2127919162,3.6693460666
1607,2.1538807874,3.7579635406
1606,2.2299136898,3.6000256908
1605,2.0770697141,3.815711107
1604,2.0995828488,3.9215631843
1603,2.2800806516,3.654725799
1602,1.978,3.516368826
1601,2.1672572525,4.032861194
1600,1.851,3.6907388981
1599,1.969,3.7347691361
1598,1.99,3.81
1597,2.09,3.71
1596,2.03,3.93
1595,2.1881234101,3.8427255567
1594,2.257,3.8102844145
1593,2.3,3.5
1592,2.3210871828,3.6174365813
1591,2.052,3.5702803301
1590,2.3326435547,3.4155782298
1589,2.09,3.49
1588,1.92,3.5
1587,2.21,3.85
1586,2.357113828,3.7512277195
